DER Name,Alpha,Phases,Bus,Pi,P_inj,Q_inj
DER_167,0.0,['B'],43,20.5,0.0,0.0
DER_168,0.0,['B'],43,21.3,0.0,0.0
DER_169,0.0,['B'],43,19.5,0.0,0.0
DER_170,0.0,['B'],43,12.9,0.0,0.0
DER_171,1.0,['B'],44,20.0,-13.0,-6.296187362892083
DER_172,1.0,['B'],44,7.5,11.0,5.327543153216378
DER_173,0.0,['B'],44,13.5,0.0,0.0
DER_174,0.0,"['A', 'B', 'C']",44,15.2,-0.0,-0.0
DER_175,0.0,"['A', 'B']",44,23.5,0.0,0.0
DER_176,0.0,['A'],45,6.5,-0.0,-0.0
DER_177,0.0,['A'],45,15.0,0.0,0.0
DER_178,0.0,['A'],45,13.9,0.0,0.0
DER_179,1.0,['A'],45,17.3,-7.0,-3.3902547338649676
DER_180,0.0,['A'],45,9.5,-0.0,-0.0
DER_181,0.0,['A'],46,14.0,0.0,0.0
DER_182,0.0,['A'],46,18.5,0.0,0.0
DER_183,0.0,"['A', 'B', 'C']",47,11.2,0.0,0.0
DER_184,0.0,"['B', 'C']",47,14.8,-0.0,-0.0
DER_185,1.0,['B'],47,19.1,-15.0,-7.264831572567788
DER_186,0.0,"['A', 'C']",47,10.6,0.0,0.0
DER_187,0.0,['B'],48,13.6,-0.0,-0.0
DER_188,0.0,"['A', 'B']",48,7.8,-0.0,-0.0
DER_189,1.0,"['A', 'B', 'C']",49,18.4,-20.0,-9.686442096757052
DER_190,1.0,"['A', 'B', 'C']",49,16.9,-8.0,-3.8745768387028203
DER_191,0.0,['B'],49,22.1,0.0,0.0
DER_192,1.0,"['A', 'B']",49,6.8,32.0,15.498307354811281
DER_193,1.0,['B'],49,21.8,-27.0,-13.07669683062202
DER_194,1.0,"['A', 'C']",50,18.2,-23.0,-11.139408411270608
DER_195,0.0,['C'],50,13.8,0.0,0.0
DER_196,0.0,"['A', 'C']",50,10.3,-0.0,-0.0
DER_197,0.0,['C'],50,19.8,0.0,0.0
DER_198,0.0,"['B', 'C']",51,14.1,0.0,0.0
DER_199,0.0,['C'],51,12.6,0.0,0.0
DER_200,1.0,"['B', 'C']",52,20.5,-13.0,-6.296187362892083
DER_201,1.0,['B'],52,17.6,-18.0,-8.717797887081346
DER_202,0.0,"['A', 'B']",53,22.9,0.0,0.0
DER_203,1.0,"['A', 'B', 'C']",54,18.7,-19.0,-9.202119991919199
DER_204,1.0,['B'],54,18.9,-24.0,-11.623730516108461
DER_205,1.0,"['B', 'C']",54,21.1,-30.0,-14.529663145135576
DER_206,0.0,"['A', 'B', 'C']",54,13.0,-0.0,-0.0
DER_207,1.0,"['A', 'C']",54,16.1,-28.0,-13.56101893545987
DER_208,0.0,['B'],55,15.4,0.0,0.0
DER_209,1.0,"['A', 'B', 'C']",55,15.9,-25.0,-12.108052620946314
DER_210,0.0,"['B', 'C']",55,13.3,-0.0,-0.0
DER_211,0.0,"['A', 'B']",56,13.2,-0.0,-0.0
DER_212,0.0,"['A', 'B']",56,14.0,-0.0,-0.0
DER_213,0.0,['A'],56,17.8,0.0,0.0
DER_214,1.0,['B'],56,21.1,-18.0,-8.717797887081346
DER_215,1.0,['A'],57,5.2,28.0,13.56101893545987
DER_216,1.0,['B'],58,9.3,13.0,6.296187362892083
DER_217,1.0,['B'],58,18.2,-10.0,-4.843221048378526
DER_218,0.0,['B'],58,14.3,0.0,0.0
DER_219,0.0,['B'],59,20.3,0.0,0.0
DER_220,1.0,['B'],59,16.5,-17.0,-8.233475782243493
DER_221,1.0,"['A', 'B', 'C']",60,20.5,-36.0,-17.435595774162692
DER_222,1.0,['A'],60,9.3,19.0,9.202119991919199
DER_223,1.0,"['A', 'B', 'C']",60,24.2,-24.0,-11.623730516108461
DER_224,0.0,"['B', 'C']",60,13.5,-0.0,-0.0
DER_225,1.0,['B'],60,17.1,-14.0,-6.780509467729935
DER_226,1.0,"['A', 'C']",61,16.6,-13.0,-6.296187362892083
DER_227,0.0,"['A', 'B', 'C']",61,8.7,-0.0,-0.0
DER_228,0.0,['C'],61,18.2,0.0,0.0
DER_229,1.0,['C'],61,16.7,-18.0,-8.717797887081346
DER_230,0.0,['C'],62,13.9,-0.0,-0.0
DER_231,1.0,"['A', 'B', 'C']",62,15.5,-19.0,-9.202119991919199
DER_232,0.0,"['A', 'C']",62,8.8,0.0,0.0
DER_233,0.0,"['A', 'B', 'C']",63,18.3,0.0,0.0
DER_234,1.0,"['A', 'C']",63,17.9,-11.0,-5.327543153216378
DER_235,0.0,['C'],64,12.4,0.0,0.0
DER_236,1.0,['B'],64,17.5,-9.0,-4.358898943540673
DER_237,1.0,['C'],64,22.7,-30.0,-14.529663145135576
DER_238,1.0,"['A', 'B', 'C']",64,22.3,-23.0,-11.139408411270608
DER_239,0.6955589591182374,['A'],64,15.5,-9.737825427655324,-4.716244107665588
DER_240,0.0,"['A', 'B', 'C']",64,10.0,-0.0,-0.0
DER_241,0.0,['C'],64,14.4,0.0,0.0
DER_242,1.0,"['B', 'C']",65,19.2,-16.0,-7.749153677405641
DER_243,0.0,['C'],65,14.1,-0.0,-0.0
DER_244,0.0,"['A', 'C']",65,16.6,0.0,0.0
DER_245,1.0,"['A', 'B', 'C']",66,4.3,10.0,4.843221048378526
DER_246,0.0,"['B', 'C']",66,17.1,0.0,0.0
DER_247,1.0,['C'],66,20.9,-5.0,-2.421610524189263
DER_248,1.0,"['B', 'C']",66,20.2,-13.0,-6.296187362892083
DER_249,0.0,"['A', 'C']",66,12.0,0.0,0.0
DER_250,0.0,['A'],68,11.1,-0.0,-0.0
DER_251,0.0,['A'],68,11.2,0.0,0.0
DER_252,0.0,['A'],69,14.5,-0.0,-0.0
DER_253,0.0,['A'],69,10.4,0.0,0.0
DER_254,0.0,['A'],69,14.6,-0.0,-0.0
DER_255,1.0,['A'],69,18.3,-34.0,-16.466951564486987
DER_256,0.0,['A'],69,22.4,0.0,0.0
DER_257,0.0,['A'],69,16.8,0.0,0.0
DER_258,0.0,['A'],70,22.9,0.0,0.0
DER_259,0.0,['A'],70,16.2,0.0,0.0
DER_260,0.0,['A'],71,21.0,0.0,0.0
DER_261,1.0,['A'],71,2.7,12.0,5.8118652580542305
DER_262,0.0,['A'],71,13.5,-0.0,-0.0
DER_263,0.0,['A'],71,13.7,0.0,0.0
DER_264,0.0,['A'],72,24.4,0.0,0.0
DER_265,0.0,['B'],72,18.5,0.0,0.0
DER_266,0.0,['A'],72,16.0,-0.0,-0.0
DER_267,1.0,"['A', 'C']",72,18.0,-24.0,-11.623730516108461
DER_268,0.0,"['B', 'C']",72,20.7,0.0,0.0
DER_269,0.0,['C'],73,18.0,0.0,0.0
DER_270,0.0,['C'],73,17.5,0.0,0.0
DER_271,1.0,['C'],73,10.2,23.0,11.139408411270608
DER_272,0.0,['C'],73,16.2,0.0,0.0
DER_273,0.0,['C'],73,14.4,0.0,0.0
DER_274,0.0,['C'],74,8.8,-0.0,-0.0
DER_275,0.0,['C'],74,18.4,0.0,0.0
DER_276,1.0,['C'],74,6.5,16.0,7.749153677405641
DER_277,0.0,['C'],75,7.1,-0.0,-0.0
DER_278,1.0,['C'],75,16.4,-25.0,-12.108052620946314
DER_279,0.0,['C'],75,22.2,0.0,0.0
DER_280,0.0,['C'],76,16.7,0.0,0.0
DER_281,1.0,['A'],76,20.1,-25.0,-12.108052620946314
DER_282,0.0,"['B', 'C']",76,12.4,-0.0,-0.0
DER_283,0.0,['B'],76,15.2,-0.0,-0.0
DER_284,0.0,"['A', 'B', 'C']",76,15.7,0.0,0.0
DER_285,0.0,['C'],77,6.6,-0.0,-0.0
DER_286,1.0,"['A', 'C']",77,2.3,7.0,3.3902547338649676
DER_287,1.0,['B'],77,18.4,-8.0,-3.8745768387028203
DER_288,1.0,"['A', 'B']",78,19.6,-27.0,-13.07669683062202
DER_289,0.0,"['A', 'B', 'C']",78,9.7,-0.0,-0.0
DER_290,0.0,['B'],78,13.3,0.0,0.0
DER_291,1.0,"['A', 'B', 'C']",78,3.4,13.0,6.296187362892083
DER_292,0.0,['B'],78,18.5,0.0,0.0
DER_293,0.0,"['B', 'C']",78,14.9,-0.0,-0.0
DER_294,0.0,"['A', 'B']",78,17.8,0.0,0.0
DER_295,0.0,"['A', 'B', 'C']",79,17.0,0.0,0.0
DER_296,0.0,"['A', 'B', 'C']",79,18.6,0.0,0.0
DER_297,1.0,['C'],79,23.9,-15.0,-7.264831572567788
DER_298,0.0,"['A', 'C']",80,17.6,0.0,0.0
DER_299,0.0,"['A', 'B']",80,16.6,0.0,0.0
DER_300,0.0,"['B', 'C']",80,20.3,0.0,0.0
DER_301,0.0,"['A', 'C']",80,24.4,0.0,0.0
DER_302,1.0,['B'],80,8.3,18.0,8.717797887081346
DER_303,0.0,"['A', 'C']",80,22.0,0.0,0.0
DER_304,0.0,"['A', 'C']",81,12.2,-0.0,-0.0
DER_305,0.0,['C'],81,16.0,0.0,0.0
DER_306,0.0,"['A', 'B']",81,22.6,0.0,0.0
DER_307,0.0,['C'],83,18.6,0.0,0.0
DER_308,1.0,['C'],84,9.0,12.0,5.8118652580542305
DER_309,0.0,['C'],84,8.5,0.0,0.0
DER_310,0.0,['C'],84,8.1,-0.0,-0.0
DER_311,1.0,['C'],84,18.9,-6.0,-2.9059326290271152
DER_312,0.0,['C'],85,11.5,0.0,0.0
DER_313,0.0,['C'],85,12.3,0.0,0.0
DER_314,1.0,['C'],85,17.6,-8.0,-3.8745768387028203
DER_315,0.0,['C'],85,18.6,0.0,0.0
DER_316,0.0,"['A', 'B', 'C']",86,12.4,-0.0,-0.0
DER_317,0.0,"['B', 'C']",87,15.6,0.0,0.0
DER_318,0.0,['B'],87,15.8,0.0,0.0
DER_319,0.0,"['A', 'B', 'C']",87,16.6,0.0,0.0
DER_320,0.0,['A'],88,13.2,0.0,0.0
DER_321,1.0,['A'],88,22.7,-34.0,-16.466951564486987
DER_322,0.0,['A'],88,22.0,0.0,0.0
DER_323,1.0,['A'],88,7.2,17.0,8.233475782243493
DER_324,0.0,['A'],88,6.2,-0.0,-0.0
